       attr1        attr2       output 
  1.22591973   0.48690722          0 
  0.01899349   3.97845575          1 
  0.68388263   6.19684036          1 
  0.69805129   0.89222694          0 
  0.31075351   4.46435559          1 
  5.34820471   1.16609880          0 
  0.17908178   0.48494391          0 
  1.79516576   0.33840663          0 
  0.35816438   0.46069815          0 
  1.79459972   0.88772461          0 
  1.61132217   1.55141861          0 
  1.27860220   0.70753005          0 
  0.55075019   0.92236436          0 
  2.11160052   0.14680869          1 
  0.63703683   0.56300581          0 
  0.17743417   0.07612591          0 
  0.82720846   1.29265106          0 
  0.09225041   0.85659952          1 
  1.10431963   0.33905638          0 
  0.68671738   0.90890453          0 
  1.13157104   1.70072321          0 
  0.73681595   1.62951859          0 
  0.02206663   0.49528197          1 
  1.19021840   0.54479032          0 
  0.76243455   0.99874553          0 
  0.03433491   5.63919890          1 
  0.40544652   0.31204694          0 
  0.07395505   0.37863616          0 
  2.05837206   0.16378589          1 
  2.17621040   0.75619393          0 
  2.24730486   0.73660383          0 
  0.15701727   0.48823850          0 
  0.00805305   0.43330558          1 
  1.29423552   0.45041293          0 
  0.48606581   0.54436484          0 
  1.50106975   1.78058356          0 
  0.53468920   0.03627119          1 
  0.11158911   1.03109484          1 
  0.38179281   6.50125110          1 
  0.37823500   0.20955150          0 
  0.64178084   1.32182553          0 
  2.27939306   0.25786545          1 
  0.45764977   0.02185761          1 
  0.73614554   0.26468323          0 
  0.09273408   0.25848729          0 
  0.80948618   2.89427137          0 
  1.61207206   1.19040814          0 
  0.97552847   0.56188396          0 
  2.78524159   0.12834109          1 
  1.29057728   3.42783106          0 
  0.25857461   0.19193568          0 
  0.41856897   0.33653661          0 
  1.20266062   1.26245780          0 
  1.31925327   0.12517691          1 
  0.53972678   0.16124163          0 
  1.31820416   0.38804414          0 
  0.35909372   0.66603549          0 
  1.50644069   1.04916150          0 
  0.40721273   0.19142753          0 
  0.98408997   0.10643252          1 
  0.45934385   0.75692543          0 
  0.41451032   0.75800029          0 
  0.23182640   0.58930397          0 
  0.59021673   0.18772497          0 
  0.54390844   0.56692626          0 
  1.17298689   1.86355662          0 
  0.78550616   0.13670662          0 
  2.83362832   1.10092860          0 
  4.42250518   1.15158348          0 
  0.46169505   0.35553691          0 
  0.37788428   0.81589125          0 
  0.15843623   0.57316978          0 
  0.57271434   0.48971460          0 
  0.29110844   0.83431908          0 
  0.49012223   0.15495309          0 
  0.93669932   1.02769835          0 
  1.60885905   0.70468078          0 
  1.90110493   0.09923287          1 
  1.32606606   2.00879958          0 
  1.74080022   0.24359647          1 
  0.27834817   0.00348079          1 
  1.58978602   0.31316151          0 
  0.09260213   0.01275835          0 
  0.25575585   0.62160024          0 
  0.44400845   0.01569998          1 
  0.06533309   1.41745559          1 
  1.55277647   1.37109571          0 
  0.63742947   1.77063548          0 
  0.66721435   3.34719933          0 
  1.56840444   1.77687739          0 
  0.17246242   0.48339741          0 
  0.38547884   0.28902339          0 
  0.07748553   1.91010764          1 
  1.18267110   0.52656989          0 
  0.05617924   1.62543211          1 
  1.52937970   0.52610240          0 
  0.40564612   1.78623538          0 
  1.53665576   0.09222610          1 
  0.68781302   0.32663293          0 
  1.14599298   2.76746616          0 
  0.24338846   0.06538198          0 
  2.93043648   0.63746480          0 
  0.07209762   0.75866179          1 
  0.17361086   0.06673276          0 
  0.69294528   0.31054272          0 
  0.51830907   0.67034514          0 
  1.94968211   0.70263205          0 
  0.29532873   0.97290591          0 
  1.10539685   0.37133831          0 
  1.41094028   1.51905089          0 
  7.04799974   0.69244124          1 
  0.40012672   1.27010181          0 
  1.86432670   1.69299530          0 
  0.76726658   0.02221700          1 
  1.38228621   0.34031340          0 
  0.38266178   0.68513092          0 
  0.31554659   0.69076023          0 
  0.10914974   0.89360788          1 
  3.24329252   0.14316323          1 
  0.74571668   0.23987047          0 
  0.48327727   1.51611923          0 
  0.21212030   0.70431040          0 
  0.12145109   0.49426901          0 
  0.91443225   1.12656675          0 
  1.31584392   0.76420302          0 
  0.69749420   4.05586380          0 
  0.43644751   0.25027032          0 
  1.53152550   1.86191085          0 
  0.33040032   1.96606262          0 
  0.94441665   0.62895197          0 
  2.25581525   4.49736128          0 
  5.24683374   0.12262886          1 
  1.22903393   0.12543499          1 
  3.30183803   2.14219243          0 
  0.15242450   1.85676984          1 
  0.08270947   0.25840901          0 
  0.08740732   0.63379697          1 
  0.99026380   0.77931324          0 
  0.09119193   0.96568347          1 
  0.20658503   1.56368877          1 
  0.10405149   0.38771925          0 
  1.71517717   0.43621530          0 
  0.12230466   1.59105192          1 
  0.09542197   0.13642463          0 
  0.22354163   0.30660322          0 
  0.23443354   0.76358922          0 
  0.92993142   0.65704984          0 
  0.71087373   1.33415754          0 
  0.65363523   1.70456037          0 
  3.77716919   0.30647382          1 
  1.91585334   1.68506496          0 
  0.12504348   0.49457493          0 
  0.83919676   0.94735221          0 
  0.34169769   0.12583813          0 
  0.00111342   1.28831337          1 
  0.46602469   0.14197008          0 
  0.76904386   2.96037141          0 
  1.55365632   0.40249374          0 
  0.08193164   0.04424258          0 
  0.46428393   0.11803663          0 
  1.36703594   0.02310486          1 
  0.44945280   1.10208690          0 
  1.41193012   1.23712569          0 
  1.98664946   1.43227736          0 
  1.33447065   0.13007564          1 
  0.98207055   0.49997586          0 
  2.47648698   1.00746103          0 
  0.08562952   0.88793130          1 
  3.04731514   2.20534181          0 
  0.28170937   0.40691106          0 
  1.83827726   0.69075066          0 
  0.01609972   0.32062709          1 
  0.21890610   0.41679828          0 
  0.17875583   1.58129585          1 
  1.12491390   0.39207872          0 
  1.36769627   1.53498115          0 
  1.83725426   1.08788316          0 
  0.61413276   2.21259219          0 
  2.77300559   1.46008773          0 
  0.36809162   0.86022930          0 
  0.22544514   1.33642923          0 
  1.24088379   0.46045661          0 
  0.17600099   3.82593088          1 
  1.95719372   0.84815316          0 
  0.76163903   0.02888917          1 
  0.89316580   0.64167314          0 
  0.08939801   0.28718806          0 
  0.58193498   1.27008966          0 
  0.12052121   0.00195434          0 
  2.03386985   2.94034285          0 
  0.59649888   2.10438620          0 
  0.93228312   0.52990887          0 
  0.14498197   1.65404024          1 
  1.65503823   2.49071569          0 
  2.33111581   3.03044574          0 
  1.08126921   0.28178005          0 
  0.84395779   5.09849321          0 
  0.03889083   1.43542611          1 
  1.06531465   3.28830435          0 
  0.47925077   1.93396139          0 
  2.17325889   0.05652715          1 
  0.23387193   3.41568373          1 
  0.78589369   0.87321025          0 
  0.37153552   0.39430796          0 
  0.43145122   0.02078796          1 
  0.48440221   2.03407859          0 
  1.58499454   1.09843266          0 
  0.08615308   0.05396769          0 
  0.08755837   0.50701416          0 
  1.11143931   1.43303771          0 
  0.13103479   1.11452913          1 
  0.09472414   0.69451348          1 
  2.47673300   0.27341228          1 
  1.46401663   0.33780397          0 
  0.67931412   1.69383651          0 
  0.30628952   1.78398667          0 
  0.71329449   0.22624720          0 
  0.60824174   0.00529948          1 
  0.73100673   0.23409351          0 
  0.70304740   0.01334087          1 
  0.67893707   0.72266623          0 
  1.27366905   1.13887329          0 
  0.20488505   1.74543203          1 
  4.11087003   1.79676317          0 
  1.45647118   1.13188746          0 
  0.14451906   0.05850689          0 
  1.74227889   2.70938922          0 
  0.20443355   1.24983523          0 
  1.78486124   0.47822948          0 
  0.60840417   0.94790240          0 
  0.83187902   1.47367191          0 
  0.35582738   0.28802272          0 
  0.05507901   0.36549095          0 
  1.16148306   1.81436996          0 
  1.55973667   0.31554372          0 
  0.21063938   1.61864997          1 
  1.26744814   5.90935192          0 
  0.15369753   0.04625854          0 
  0.46930027   1.04334043          0 
  6.09930032   2.08644458          0 
  3.09039527   2.15630417          0 
  1.45612431   1.45794656          0 
  0.36930269   1.57723627          0 
  0.20664750   0.63222918          0 
  1.67123070   0.50474740          0 
  0.16376677   1.08696505          1 
  1.75038848   1.09873192          0 
  1.67202143   1.49413179          0 
  0.62814228   1.18304165          0 
  0.29396816   2.14279087          1 
  0.35908669   0.04816907          1 
  0.34789129   0.53196979          0 
  0.91820780   0.40736945          0 
  0.34081635   2.23490298          1 
  2.52653216   1.74733372          0 
  0.25797153   0.08028283          0 
  1.66063443   2.28182148          0 
  0.10904617   0.01867512          0 
  1.03894823   0.54744621          0 
  1.10208825   2.48144201          0 
  0.28764879   0.01001455          1 
  0.90470686   0.68081917          0 
  1.79605302   0.47455364          0 
  0.14761390   0.05395305          0 
  2.09182118   0.93697317          0 
  1.14941005   0.50698071          0 
  0.08119366   0.16964649          0 
  0.15532512   1.23512595          1 
  1.39958711   0.40095025          0 
  0.35061048   2.61930497          1 
  2.10634707   0.50937332          0 
  1.45848029   0.62925206          0 
  0.33664299   0.38689384          0 
  0.24614814   0.41888016          0 
  0.11876994   0.84634956          1 
  2.29653374   1.85296714          0 
  1.57308491   0.16057400          1 
  0.53650834   2.96026855          0 
  1.56449916   0.37605945          0 
  2.79006990   0.61971036          0 
  0.52925847   0.37590133          0 
  0.45317128   0.64877489          0 
  0.35123400   2.78628742          1 
  0.99119734   0.02926161          1 
  0.89135989   0.25487155          0 
  0.62408129   2.16671378          0 
  0.92173867   2.09276986          0 
  4.44183602   0.10614334          1 
  3.98652805   0.70236406          0 
  2.16741165   1.20982613          0 
  2.34842162   0.37082023          0 
  1.79859920   0.85683723          0 
  0.24150419   1.28094831          0 
  0.46919759   0.00489461          1 
  0.08938510   1.02032297          1 
  0.66533255   2.47092237          0 
  0.75326197   1.32237234          0 
  0.46980281   1.07919429          0 
  0.00775510   0.32155819          1 
  4.14515425   0.36541989          1 
  0.51554032   0.57915534          0 
  2.11174881   0.62201836          0 
  0.91508917   1.28791733          0 
  0.83772036   0.71787622          0 
  0.06026724   1.83891830          1 
  0.09028499   1.22149727          1 
  1.62627401   0.37681370          0 
  0.86923901   1.00450577          0 
  0.17333426   2.61436651          1 
  1.07479339   0.04623001          1 
  0.89526022   1.02712530          0 
  0.39870144   1.87373180          0 
  0.34574340   1.47997687          0 
  0.08082158   2.99623646          1 
  1.93615538   0.93478970          0 
  2.53283959   0.02688205          1 
  0.46636826   1.33308120          0 
  0.89030563   0.47249511          0 
  0.32354181   1.39005163          0 
  0.18157890   1.38900052          1 
  0.01922626   0.84668516          1 
  1.39049131   2.78456721          0 
  2.98511693   0.00999902          1 
  0.52608305   2.66993850          0 
  2.12824871   1.06835496          0 
  0.39388952   1.01884616          0 
  0.36792829   0.24214163          0 
  0.53828953   0.68649695          0 
  0.40287866   0.25334152          0 
  2.23054570   1.04842072          0 
  1.93543095   0.75849037          0 
  0.50559635   0.03561154          1 
  0.79435761   1.52723746          0 
  1.41389495   0.45101228          0 
  0.41989615   1.43769684          0 
  1.23752411   1.35049214          0 
  1.82400400   0.38160579          0 
  1.09694143   2.13875465          0 
  0.70181036   0.29126155          0 
  0.01352748   0.59217217          1 
  0.30899863   3.78111911          1 
  1.03063412   2.92813297          0 
  0.75736878   0.04725087          1 
  0.66964569   0.09469934          1 
  0.28288302   0.30276700          0 
  1.68462144   0.81945262          0 
  0.27283564   4.35031708          1 
  2.43611387   0.13511592          1 
  1.38870788   2.64401516          0 
  0.57726740   0.82614323          0 
  0.16437196   0.70678393          0 
  2.46601374   1.48301620          0 
  0.49685222   3.61792651          1 
  2.53933139   0.08803250          1 
  0.75386053   0.48693291          0 
  3.22693459   0.02316899          1 
  0.83824559   0.22752627          0 
  0.42745024   0.05075491          1 
  1.16570054   3.49452184          0 
  0.01766238   0.89109339          1 
  0.46513383   0.37130981          0 
  1.04953867   0.99847142          0 
  0.04261474   0.83169858          1 
  2.29735157   0.13515251          1 
  1.70491212   1.00586472          0 
  0.62951800   2.75010681          0 
  0.64283176   0.74437754          0 
  0.67241173   0.56043714          0 
  0.19468462   0.09624817          0 
  1.27901855   3.24273611          0 
  1.38136849   0.69962194          0 
  0.12737671   1.55915520          1 
  0.76060211   0.02781979          1 
  0.26293515   0.05267794          0 
  0.69358512   0.30293831          0 
  0.12640152   1.79977247          1 
  0.26020392   0.60056099          0 
  2.50968724   0.00576857          1 
  0.24751719   0.04382728          0 
  0.71282082   0.79134471          0 
  0.34412322   1.39734133          0 
  1.01402430   0.29538118          0 
  5.87202828   1.53877083          0 
  1.50642036   0.14884758          1 
  0.19432831   2.07018201          1 
  0.65862325   0.36362420          0 
  0.60613138   1.50986033          0 
  2.72975143   1.41058401          0 
  3.94757048   0.25655303          1 
  0.60181965   0.93036020          0 
  0.26911206   0.65686675          0 
  0.87489256   3.05666671          0 
  0.14333941   0.89052669          0 
  0.50055506   1.26494944          0 
  1.28080957   1.28332839          0 
  0.53446268   0.37552241          0 
  2.73287688   0.53567083          0 
  0.10560058   0.31681302          0 
  0.27535802   1.10156169          0 
  2.29772306   3.50340618          0 
  0.72659996   0.66375223          0 
  1.22872632   0.06810861          1 
  0.09383124   1.12199081          1 
  1.66824750   0.40115004          0 
  0.68651960   0.69790530          0 
  0.80151675   1.84713868          0 
  0.75601557   1.20491100          0 
  1.16430221   1.44685236          0 
  0.06036917   0.16969947          0 
  0.95021472   0.50053601          0 
  3.08849878   0.66012147          0 
  1.53488435   1.41812673          0 
  0.90666471   0.43856346          0 
  0.84124109   0.58072167          0 
  0.99414830   2.80838900          0 
  0.15822278   0.83086269          0 
  0.27154556   1.99496316          1 
  0.30203955   4.36617813          1 
  1.24227975   0.17553659          1 
  1.83171881   0.99795313          0 
  1.56026269   0.11650097          1 
  0.09110947   0.02757283          0 
  0.71782536   1.56101058          0 
  4.62559231   1.66665401          0 
  0.46996913   0.10974000          0 
  1.11765659   0.33479293          0 
  1.95715952   0.76618116          0 
  0.24574177   1.04954998          0 
  2.41553699   0.01352015          1 
  0.14838833   0.34909872          0 
  2.01295614   0.58157670          0 
  2.45731205   0.09980012          1 
  1.12417571   1.30215059          0 
  1.07946370   0.13751964          1 
  0.00536689   0.24933057          1 
  0.54973165   3.72240289          1 
  0.67614671   0.17837142          0 
  0.65768875   0.38455628          0 
  1.27258447   0.20004220          0 
  0.18496741   1.40608954          1 
  0.53073548   0.05940585          1 
  0.31202159   0.20553296          0 
  3.77918412   0.25040745          1 
  0.27685134   0.20538338          0 
  2.36038016   0.09232526          1 
  2.49606821   2.46860489          0 
  0.37431128   0.52149804          0 
  1.78487893   0.06993379          1 
  0.88804542   0.97657911          0 
  0.21625474   0.26185653          0 
  1.44447091   1.09498018          0 
  0.25616458   0.62215450          0 
  1.14160195   0.31906446          0 
  1.50025832   0.91985947          0 
  3.99416610   0.07730698          1 
  0.18301665   0.57760904          0 
  0.24387342   1.36054086          0 
  0.78081984   0.65706967          0 
  1.21484871   0.10524891          1 
  0.57885821   1.55777021          0 
  0.06708652   1.85696130          1 
  0.11750090   0.51822976          0 
  3.12941179   0.12909941          1 
  2.64092937   0.34348764          1 
  0.27407414   0.42136186          0 
  1.15445963   0.21491664          0 
  1.16871736   0.20423512          0 
  1.41693650   2.23731123          0 
  2.30729415   1.34509834          0 
  0.28323029   1.44322356          0 
  2.03682057   0.49733402          0 
  0.08207458   0.95870581          1 
  0.08293328   0.39049526          0 
  2.13797948   0.85020826          0 
  0.32148047   0.29483146          0 
  0.66102393   0.53920455          0 
  0.08573575   0.91595823          1 
  0.15632090   0.83280711          0 
  2.06665035   0.04865318          1 
  2.49435753   0.09063751          1 
  3.07770341   2.16287546          0 
  0.54598090   0.53533661          0 
  0.77911470   1.02160145          0 
  0.27904432   0.26662499          0 
  0.48593752   2.00231500          0 
  0.93237490   3.13579182          0 
  3.14719800   0.48998873          1 
  0.15257203   0.39607315          0 
  0.42053969   0.56764240          0 
  0.34601108   1.04956625          0 
  0.78516189   3.97433010          0 
  0.29943866   1.03130653          0 
  0.21182162   1.40185095          1 
  0.99634647   2.99487239          0 
  0.39880631   2.83277912          1 
  0.47072334   0.18198686          0 
  2.57717991   0.69264537          0 
  0.41802783   0.67251539          0 
  2.71689625   0.71146946          0 
  1.26987047   0.97170768          0 
  2.33918141   1.47073254          0 
  1.65442692   2.41965789          0 
  3.47439575   0.03402124          1 
  0.02049324   1.87750807          1 
  2.29168285   0.97126851          0 
  1.22397373   0.04540264          1 
  0.92337901   0.01249115          1 
  0.75066458   0.26264984          0 
  0.84561499   1.18506484          0 
  2.09640153   1.35268480          0 
  0.69100559   0.06146114          1 
  0.07582732   0.88769850          1 
  1.83972003   0.51417898          0 
  0.10452292   0.25035389          0 
  0.05976443   2.74404752          1 
  2.99834861   0.34788663          1 
  2.73778247   1.85265764          0 
  0.91433544   0.94276739          0 
  0.19068863   1.79865918          1 
  0.69865775   0.04724659          1 
  0.28632460   0.37882686          0 
  0.36824316   0.36063714          0 
  1.73590612   1.31170367          0 
  2.44247810   0.62067571          0 
  2.29343079   1.80500486          0 
  2.10486751   0.10406200          1 
  0.68230030   1.06134845          0 
  0.27775006   1.21886420          0 
  0.90779893   0.34349745          0 
  0.38983337   1.58529918          0 
  0.53786231   1.43564749          0 
  0.45304293   0.27101350          0 
  0.80681838   0.04833277          1 
  1.51838612   1.29491338          0 
  3.35116271   1.77407951          0 
  0.98010228   0.07985769          1 
  3.55237656   3.98493268          0 
  1.20198112   0.38208062          0 
  0.24645114   1.90320356          1 
  1.55661701   0.29913606          0 
  0.17539506   0.68590325          0 
  2.57650695   1.86595774          0 
  0.76320450   1.84169852          0 
  1.32643374   0.04513902          1 
  1.85555935   2.97972417          0 
  1.17759834   1.52534729          0 
  0.39780398   0.08674486          0 
  1.50691022   2.69812742          0 
  0.51739058   1.45002349          0 
  1.31094196   5.91808265          0 
  0.27731497   1.02302457          0 
  0.20061290   0.83689788          0 
  0.30662037   1.02226102          0 
  0.16347704   0.23966078          0 
  3.34129499   0.11188567          1 
  2.07779076   0.28448531          1 
  0.92451584   0.20122791          0 
  0.58065504   2.11236659          0 
  0.28878830   0.94784505          0 
  2.44297148   0.90268561          0 
  2.52306507   0.28423633          1 
  0.05180664   0.25031965          0 
  1.60569286   0.86752066          0 
  1.51630212   1.35407918          0 
  0.00171461   1.25952151          1 
  0.06741076   0.46219625          0 
  0.30680161   0.97227273          0 
  1.30666309   0.83314088          0 
  0.47073204   0.04583628          1 
  0.09567137   1.13692058          1 
  1.76739785   0.47548708          0 
  0.18090696   3.37266445          1 
  0.25569973   1.24515367          0 
  3.50698786   0.62766346          0 
  0.59532069   1.00635634          0 
  0.55556787   0.33746858          0 
  0.34337373   0.52660695          0 
  0.76901800   1.77778425          0 
  0.74728843   1.42627295          0 
  0.60972337   0.00413837          1 
  0.64353884   1.30605816          0 
  1.59540258   0.34431478          0 
  1.46331341   0.12427984          1 
  1.37840378   0.17126278          1 
  1.17622232   0.14085452          1 
  2.71978332   2.49269667          0 
  0.09220860   0.86532063          1 
  0.86762664   0.66520483          0 
  0.21132059   0.93006890          0 
  0.46793743   1.23535860          0 
  0.04032974   1.05639288          1 
  0.17418803   0.03797338          0 
  0.95764053   0.25422685          0 
  0.52764778   0.07021816          1 
  0.02116527   0.20497336          1 
  0.47679531   0.05385213          1 
  4.21855374   1.20787576          0 
  0.89997444   0.39982994          0 
  1.55802680   0.24118596          0 
  0.91890365   0.79417481          0 
  0.22339487   0.51984056          0 
  1.56807327   2.87741101          0 
  0.22058604   0.38331680          0 
  0.44679438   0.64750828          0 
  0.24911545   0.02452994          1 
  0.10337689   0.09955557          0 
  0.28195034   2.48053332          1 
  0.19300014   3.98813147          1 
  1.57229038   1.69237259          0 
  3.32932931   0.07002180          1 
  0.12084809   0.30475818          0 
  2.97774554   0.24710359          1 
  0.10874307   0.32106595          0 
  0.34546633   0.89658485          0 
  0.33349766   0.49449029          0 
  0.21922615   0.37533428          0 
  0.12129286   0.81951506          1 
  0.56199544   1.65911100          0 
  1.14954108   1.58174791          0 
  1.36574212   0.58438063          0 
  1.81487990   0.16697832          1 
  0.64892247   1.48768214          0 
  0.11761913   0.10678856          0 
  0.14137015   2.17467167          1 
  0.08721282   0.76204627          1 
  2.18727755   0.12213285          1 
  0.04791903   0.36061679          1 
  0.68979284   2.11302571          0 
  0.01586089   2.06716509          1 
  1.11474605   0.33263308          0 
  0.17371954   1.43768004          1 
  0.26196705   0.00652792          1 
  2.04350645   0.37807257          0 
  0.13880040   0.41134639          0 
  0.28011467   0.90254586          0 
  1.29229442   0.81624451          0 
  0.40925544   0.95405472          0 
  0.07885734   3.04635296          1 
  1.74338103   3.94499113          0 
  1.67223880   0.24915817          1 
  0.12989182   1.06235475          1 
  0.24140328   0.45493939          0 
  0.44859381   0.31426406          0 
  1.92720664   0.90748865          0 
  2.69485443   0.06449721          1 
  0.03031706   0.02324616          0 
  1.16451882   5.80334234          0 
  1.80199476   1.26108365          0 
  0.51252344   2.28461658          0 
  0.02973150   0.17495448          0 
  0.04207410   1.16710934          1 
  3.42734252   0.94651761          0 
  1.16604446   2.41186946          0 
  0.01171437   0.20320025          1 
